Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STC-04 See list of course,Chrome 65.0.3325.181,,2561-03-28 22:43:35,2561-03-28 22:43:47,11.615s,FAILED
,,,,,,
Test Cases/See_list_of_course_Admin,Chrome 65.0.3325.181,,2561-03-28 22:43:35,2561-03-28 22:43:39,3.664s,FAILED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 22:43:35,2561-03-28 22:43:38,2.591s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 22:43:38,2561-03-28 22:43:38,0.489s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:38,2561-03-28 22:43:39,0.087s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:39,2561-03-28 22:43:39,0.309s,FAILED
,,,,,,
Test Cases/See_list_of_course_Student,Chrome 65.0.3325.181,,2561-03-28 22:43:39,2561-03-28 22:43:43,4.245s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 22:43:39,2561-03-28 22:43:41,2.522s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 22:43:41,2561-03-28 22:43:42,0.405s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.060s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.056s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.022s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.053s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.011s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.043s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.014s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.043s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.042s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.041s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.009s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.041s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.044s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.009s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.027s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:42,0.041s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:42,2561-03-28 22:43:43,0.010s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-28 22:43:43,2561-03-28 22:43:43,0.600s,PASSED
,,,,,,
Test Cases/See_list_of_course_Teacher,Chrome 65.0.3325.181,,2561-03-28 22:43:43,2561-03-28 22:43:47,3.488s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 22:43:43,2561-03-28 22:43:45,1.871s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 22:43:45,2561-03-28 22:43:45,0.408s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:45,2561-03-28 22:43:46,0.058s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.053s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.011s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.050s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.044s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.008s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.044s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.042s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.040s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.041s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.009s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.040s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.011s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.024s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:46,0.008s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-28 22:43:46,2561-03-28 22:43:47,0.596s,PASSED
